match_no,Batting position,Batsman,team,Run,Ball,4s,6s,out_by,,boundary runs
1,1,Devon Conway,Chennai Super Kings,1,6,0,0,Mohammed Shami,,0
1,2,Ruturaj Gaikwad,Chennai Super Kings,92,50,4,9,Alzarri Joseph,,70
1,3,Moeen Ali,Chennai Super Kings,23,17,4,1,Rashid Khan,,22
1,4,Ben Stokes,Chennai Super Kings,7,6,1,0,Rashid Khan,,4
1,5,Ambati Rayudu,Chennai Super Kings,12,12,0,1,Joshua Little,,6
1,6,Shivam Dube,Chennai Super Kings,19,18,0,1,Mohammed Shami,,6
1,7,Ravindra Jadeja,Chennai Super Kings,1,2,0,0,Alzarri Joseph,,0
1,8,MS Dhoni,Chennai Super Kings,14,7,1,1,Not Out,,10
1,9,Mitchell Santner,Chennai Super Kings,1,3,0,0,Not Out,,0
1,1,Wriddhiman Saha,Gujarat Titans,25,16,2,2,Rajvardhan Hangargekar,,20
1,2,Shubman Gill,Gujarat Titans,63,36,6,3,Tushar Deshpande,,42
1,3,Sai Sudharsan,Gujarat Titans,22,17,3,0,Rajvardhan Hangargekar,,12
1,4,Hardik Pandya,Gujarat Titans,8,11,0,0,Ravindra Jadeja,,0
1,5,Vijay Shankar,Gujarat Titans,27,21,2,1,Rajvardhan Hangargekar,,14
1,6,Rahul Tewatia,Gujarat Titans,15,14,1,1,Not Out,,10
1,7,Rashid Khan,Gujarat Titans,10,3,1,1,Not Out,,10
2,1,Prabhsimran Singh,Punjab Kings,23,12,2,2,Tim Southee,,20
2,2,Shikhar Dhawan,Punjab Kings,40,29,6,0,Varun Chakaravarthy,,24
2,3,Bhanuka Rajapaksa,Punjab Kings,50,32,5,2,Umesh Yadav,,32
2,4,Jitesh Sharma,Punjab Kings,21,11,1,2,Tim Southee,,16
2,5,Sikandar Raza,Punjab Kings,16,13,1,1,Sunil Narine,,10
2,6,Sam Curran,Punjab Kings,26,17,0,2,Not Out,,12
2,7,Shahrukh Khan,Punjab Kings,11,7,2,0,Not Out,,8
2,1,Mandeep Singh,Kolkata Knight Riders,2,4,0,0,Arshdeep Singh,,0
2,2,Rahmanullah Gurbaz,Kolkata Knight Riders,22,16,3,1,Nathan Ellis,,18
2,3,Anukul Roy,Kolkata Knight Riders,4,5,1,0,Arshdeep Singh,,4
2,4,Venkatesh Iyer,Kolkata Knight Riders,34,28,3,1,Arshdeep Singh,,18
2,5,Nitish Rana,Kolkata Knight Riders,24,17,3,1,Sikandar Raza,,18
2,6,Rinku Singh,Kolkata Knight Riders,4,4,0,0,Rahul Chahar,,0
2,7,Andre Russell,Kolkata Knight Riders,35,19,3,2,Sam Curran,,24
2,8,Shardul Thakur,Kolkata Knight Riders,8,3,0,1,Not Out,,6
2,9,Sunil Narine,Kolkata Knight Riders,7,2,0,1,Not Out,,6
3,1,KL Rahul,Lucknow Super Giants,8,12,0,1,Chetan Sakariya,,6
3,2,Kyle Mayers,Lucknow Super Giants,73,38,2,7,Axar Patel,,50
3,3,Deepak Hooda,Lucknow Super Giants,17,18,0,0,Kuldeep Yadav,,0
3,4,Krunal Pandya,Lucknow Super Giants,15,13,0,1,Not Out,,6
3,5,Marcus Stoinis,Lucknow Super Giants,12,10,0,1,Khaleel Ahmed,,6
3,6,Nicholas Pooran,Lucknow Super Giants,36,21,2,3,Khaleel Ahmed,,26
3,7,Ayush Badoni,Lucknow Super Giants,18,7,1,2,Chetan Sakariya,,16
3,8,Krishnappa Gowtham,Lucknow Super Giants,6,1,0,1,Not Out,,6
3,1,Prithvi Shaw,Delhi Capitals,12,9,2,0,Mark Wood,,8
3,2,David Warner,Delhi Capitals,56,48,7,0,Avesh Khan,,28
3,3,Mitchell Marsh,Delhi Capitals,0,1,0,0,Mark Wood,,0
3,4,Sarfaraz Khan,Delhi Capitals,4,9,1,0,Mark Wood,,4
3,5,Rilee Rossouw,Delhi Capitals,30,20,3,1,Avesh Khan,,18
3,6,Rovman Powell,Delhi Capitals,1,3,0,0,Avesh Khan,,0
3,7,Aman Hakim Khan,Delhi Capitals,4,5,0,0,Avesh Khan,,0
3,8,Axar Patel,Delhi Capitals,16,11,1,1,Mark Wood,,10
3,9,Kuldeep Yadav,Delhi Capitals,6,10,0,0,Not Out,,0
3,10,Chetan Sakariya,Delhi Capitals,4,4,1,0,Mark Wood,,4
3,11,Mukesh Kumar,Delhi Capitals,0,1,0,0,Not Out,,0
4,1,Yashasvi Jaiswal,Rajasthan Royals,54,37,9,0,Fazalhaq Farooqi,,36
4,2,Jos Buttler,Rajasthan Royals,54,22,7,3,Fazalhaq Farooqi,,46
4,3,Sanju Samson,Rajasthan Royals,55,32,3,4,T Natarajan,,36
4,4,Devdutt Padikkal,Rajasthan Royals,2,5,0,0,Umran Malik,,0
4,5,Riyan Parag,Rajasthan Royals,7,6,1,0,T Natarajan,,4
4,6,Shimron Hetmyer,Rajasthan Royals,22,16,1,1,Not Out,,10
4,7,Ravichandran Ashwin,Rajasthan Royals,1,2,0,0,Not Out,,0
4,1,Abhishek Sharma,Sunrisers Hyderabad,0,3,0,0,Trent Boult,,0
4,2,Mayank Agarwal,Sunrisers Hyderabad,27,23,3,0,Yuzvendra Chahal,,12
4,3,Rahul Tripathi,Sunrisers Hyderabad,0,2,0,0,Trent Boult,,0
4,4,Harry Brook,Sunrisers Hyderabad,13,21,1,0,Yuzvendra Chahal,,4
4,5,Washington Sundar,Sunrisers Hyderabad,1,5,0,0,Jason Holder,,0
4,6,Glenn Phillips,Sunrisers Hyderabad,8,6,0,1,Ravichandran Ashwin,,6
4,7,Abdul Samad,Sunrisers Hyderabad,32,32,2,1,Not Out,,14
4,8,Adil Rashid,Sunrisers Hyderabad,18,13,1,1,Yuzvendra Chahal,,10
4,9,Bhuvneshwar Kumar,Sunrisers Hyderabad,6,10,0,0,Yuzvendra Chahal,,0
4,10,Umran Malik,Sunrisers Hyderabad,19,8,1,2,Not Out,,16
5,1,Rohit Sharma,Mumbai Indians,1,10,0,0,Akash Deep,,0
5,2,Ishan Kishan,Mumbai Indians,10,13,2,0,Mohammed Siraj,,8
5,3,Cameron Green,Mumbai Indians,5,4,1,0,Reece Topley,,4
5,4,Suryakumar Yadav,Mumbai Indians,15,16,1,0,Michael Bracewell,,4
5,5,Tilak Varma,Mumbai Indians,84,46,9,4,Not Out,,60
5,6,Nehal Wadhera,Mumbai Indians,21,13,1,2,Karn Sharma,,16
5,7,Tim David,Mumbai Indians,4,7,0,0,Karn Sharma,,0
5,8,Hrithik Shokeen,Mumbai Indians,5,3,1,0,Harshal Patel,,4
5,9,Arshad Khan,Mumbai Indians,15,9,0,1,Not Out,,6
5,1,Virat Kohli,Royal Challengers Bangalore,82,49,6,5,Not Out,,54
5,2,Faf du Plessis,Royal Challengers Bangalore,73,43,5,6,Arshad Khan,,56
5,3,Dinesh Karthik,Royal Challengers Bangalore,0,3,0,0,Cameron Green,,0
5,4,Glenn Maxwell,Royal Challengers Bangalore,12,3,0,2,Not Out,,12
6,1,Ruturaj Gaikwad,Chennai Super Kings,57,31,3,4,Ravi Bishnoi,,36
6,2,Devon Conway,Chennai Super Kings,47,29,5,2,Mark Wood,,32
6,3,Shivam Dube,Chennai Super Kings,27,16,1,3,Ravi Bishnoi,,22
6,4,Moeen Ali,Chennai Super Kings,19,13,3,0,Ravi Bishnoi,,12
6,5,Ben Stokes,Chennai Super Kings,8,8,1,0,Avesh Khan,,4
6,6,Ambati Rayudu,Chennai Super Kings,27,14,2,2,Not Out,,20
6,7,Ravindra Jadeja,Chennai Super Kings,3,6,0,0,Mark Wood,,0
6,8,MS Dhoni,Chennai Super Kings,12,3,0,2,Mark Wood,,12
6,9,Mitchell Santner,Chennai Super Kings,1,1,0,0,Not Out,,0
6,1,KL Rahul,Lucknow Super Giants,20,18,2,0,Moeen Ali,,8
6,2,Kyle Mayers,Lucknow Super Giants,53,22,8,2,Moeen Ali,,44
6,3,Deepak Hooda,Lucknow Super Giants,2,6,0,0,Mitchell Santner,,0
6,4,Krunal Pandya,Lucknow Super Giants,9,9,0,1,Moeen Ali,,6
6,5,Marcus Stoinis,Lucknow Super Giants,21,18,0,1,Moeen Ali,,6
6,6,Nicholas Pooran,Lucknow Super Giants,32,18,2,3,Tushar Deshpande,,26
6,7,Ayush Badoni,Lucknow Super Giants,23,18,0,0,Tushar Deshpande,,0
6,8,Krishnappa Gowtham,Lucknow Super Giants,17,11,0,1,Not Out,,6
