match_no,date_of_match,ground,team 1,team 2,winner,result,won by
1,3/31/2023,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,Gujarat Titans,5 Wickets,Wickets
2,04-01-2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Kolkata Knight Riders,Punjab Kings,7 Runs,Runs
3,04-01-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,50 Runs,Runs
4,04-02-2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,72 Runs,Runs
5,04-02-2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,8 Wickets,Wickets
6,04-03-2023,MA Chidambaram Stadium,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,12 Wickets,Wickets
7,04-04-2023, Arun Jaitley Stadiumi,Delhi Capitals,Gujarat Titans,Gujarat Titans,6 Wickets,Wickets
8,04-05-2023, Barsapara Cricket Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,5 Runs,Runs
9,04-06-2023,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,81 Runs,Runs
10,04-07-2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,5 Wickets,Wickets
11,04-08-2023, Barsapara Cricket Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,57 Runs,Runs
12,04-08-2023,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,7 Wickets,Wickets
13,04-09-2023,Narendra Modi Stadium,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,3 Wickets,Wickets
14,04-09-2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,8 Wickets,Wickets
15,04-10-2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,1 Wickets,Wickets
16,04-11-2023, Arun Jaitley Stadiumi,Delhi Capitals,Mumbai Indians,Mumbai Indians,6 Wickets,Wickets
17,04-12-2023,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,3 Runs,Runs
18,4/13/2023,Punjab Cricket Association IS Bindra Stadium,Punjab Kings,Gujarat Titans,Gujarat Titans,6 Wickets,Wickets
19,4/14/2023,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,23 Runs,Runs
20,4/15/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,23 Runs,Runs
21,4/15/2023,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants,Punjab Kings,Punjab Kings,2 Wickets,Wickets
22,4/16/2023,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,5 Wickets,Wickets
23,4/16/2023,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,3 Wickets,Wickets
24,4/17/2023,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,8 Runs,Runs
25,4/18/2023,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,14 Runs,Runs
26,4/19/2023,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,10 Runs,Runs
